GENESIS-Tabelle: 23131-0010;;;;;;;;;;;;;;;;;;
Krankenhauspatienten: Bundesländer, Jahre,;;;;;;;;;;;;;;;;;;
Hauptdiagnose ICD-10 (1-3-Steller Hierarchie);;;;;;;;;;;;;;;;;;
Diagnosen der Krankenhauspatienten;;;;;;;;;;;;;;;;;;
Entlassene Patienten (Anzahl);;;;;;;;;;;;;;;;;;
;;;Baden-Württemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thüringen
2018;ICD10-C00-C14;  Bösartige Neubildung, Lippe, Mundhöhle, Pharynx;6699;6915;3096;2091;928;1408;3362;1649;4033;11656;2110;906;3638;2123;1411;2097
2018;ICD10-C15-C26;  Bösartige Neubildungen der Verdauungsorgane;34933;52001;18201;10377;3598;6636;23242;7435;24597;79927;15543;5584;19158;10556;8474;13939
2018;ICD10-C30-C39;  BN d. Atmungsorgane u. so. intrathorakaler Organe;24928;28147;13965;7157;2940;3810;13902;4417;15867;56332;7666;3833;9852;7127;7727;8996
2018;ICD10-C40-C41;  BN des Knochens und des Gelenkknorpels;1220;1302;797;75;53;306;554;82;451;2096;254;123;289;214;178;127
2018;ICD10-C43-C44;  Melanom und sonstige BN der Haut;15252;16716;5624;2590;1550;2927;8422;1974;7098;25540;4903;1754;7746;3345;2849;3013
2018;ICD10-C45-C49;  BN d. mesothelialen Gewebes u.d. Weichteilgewebes;3464;4272;2759;1121;332;727;1403;415;1648;6002;820;287;1122;490;648;673
2018;ICD10-C50-C50;  Bösartige Neubildungen der Brustdrüse (Mamma);16926;20235;6557;2954;1638;3811;8494;2320;10822;31760;6486;1958;6360;3014;4013;3181
2018;ICD10-C51-C58;  BN der weiblichen Genitalorgane;8592;11892;5134;1820;878;1759;5039;1353;5841;16787;3273;1157;3771;1898;2022;2015
2018;ICD10-C60-C63;  BN der männlichen Genitalorgane;12175;15133;4923;2403;955;4668;6667;1768;7903;22008;4446;1922;6551;2808;2635;3344
2018;ICD10-C64-C68;  Bösartige Neubildungen der Harnorgane;14915;18434;7038;4097;1400;3822;8815;3177;11553;31468;6281;2159;8786;4079;4202;4412
2018;ICD10-C69-C72;  BN des Auges/Gehirns/Zentralnervensystems;4085;4329;2275;470;300;1029;1563;701;2165;6575;947;381;1331;856;839;695
2018;ICD10-C73-C75;  BN der Schilddrüse und sonstiger endokriner Drüsen;2522;3630;1570;470;162;896;1798;359;1454;4933;987;336;833;546;395;474
2018;ICD10-C76-C80;  BN ungenau bez., sekundärer u.n.n. bez. Lokalisat.;16972;18057;7364;3291;1554;3590;8584;2891;9782;30606;5814;1993;7093;4052;3449;3785
2018;ICD10-C81-C96;  BN des lymphat., blutbild. und verwandten Gewebes;18202;22954;9280;4602;2454;4444;8667;3359;10737;35702;5737;3012;8790;4163;4206;6276
2018;ICD10-C97-C97;  BN als Primärtumoren an mehreren Lokalisationen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2018;;Insgesamt;2237275;3087392;902228;577929;209543;518100;1406516;419939;1742589;4672054;969177;289366;1001141;588558;598009;588871
2019;ICD10-C00-C14;  Bösartige Neubildung, Lippe, Mundhöhle, Pharynx;6823;7194;3162;1989;978;1429;3131;1680;3965;11789;2163;972;3809;2131;1324;2373
2019;ICD10-C15-C26;  Bösartige Neubildungen der Verdauungsorgane;35679;53180;18579;10325;3387;6792;23446;7790;26334;80476;15207;5766;19163;10865;8789;14538
2019;ICD10-C30-C39;  BN d. Atmungsorgane u. so. intrathorakaler Organe;25088;28519;14152;7068;3001;3695;14565;4459;16435;56503;7972;3673;10252;6497;7913;8842
2019;ICD10-C40-C41;  BN des Knochens und des Gelenkknorpels;1404;1250;724;42;79;330;424;97;515;2227;234;165;418;154;126;202
2019;ICD10-C43-C44;  Melanom und sonstige BN der Haut;15460;17446;5747;2776;1525;3132;8390;2091;7525;26680;5005;1671;8575;3591;2968;3173
2019;ICD10-C45-C49;  BN d. mesothelialen Gewebes u.d. Weichteilgewebes;3593;4380;2916;1133;248;807;1409;366;1640;5951;824;392;1243;503;703;559
2019;ICD10-C50-C50;  Bösartige Neubildungen der Brustdrüse (Mamma);16935;20900;6464;2937;1740;3767;8847;2389;10764;31426;6532;1967;6661;2932;4161;3470
2019;ICD10-C51-C58;  BN der weiblichen Genitalorgane;8451;12171;5229;1813;737;1830;5158;1294;5862;17738;3312;1064;3676;1814;2042;2186
2019;ICD10-C60-C63;  BN der männlichen Genitalorgane;12926;16119;5331;2436;1005;4759;6726;1738;8281;23455;4575;2231;6343;2934;2741;3624
2019;ICD10-C64-C68;  Bösartige Neubildungen der Harnorgane;15381;19114;6925;4227;1409;3762;8983;3291;11897;32272;6059;2223;9153;4185;4436;4427
2019;ICD10-C69-C72;  BN des Auges/Gehirns/Zentralnervensystems;4011;4093;2332;519;297;886;1516;654;2026;6410;949;407;1414;753;875;731
2019;ICD10-C73-C75;  BN der Schilddrüse und sonstiger endokriner Drüsen;2516;3664;1496;374;106;949;1499;403;1381;4917;952;353;875;586;449;462
2019;ICD10-C76-C80;  BN ungenau bez., sekundärer u.n.n. bez. Lokalisat.;16767;18238;7202;3145;1424;3685;8406;2928;9988;30326;5275;1755;6850;3931;3643;3949
2019;ICD10-C81-C96;  BN des lymphat., blutbild. und verwandten Gewebes;18498;23974;9399;4914;2479;4457;9218;3134;11415;37415;5962;2792;8873;3998;4049;6608
2019;ICD10-C97-C97;  BN als Primärtumoren an mehreren Lokalisationen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2019;;Insgesamt;2235187;3094589;914907;573754;203436;520889;1409908;419398;1742687;4701327;971872;289046;999731;583715;608448;586890
2020;ICD10-C00-C14;  Bösartige Neubildung, Lippe, Mundhöhle, Pharynx;6017;6853;2816;1968;872;1463;2927;1723;4003;11181;2087;864;3658;2197;1388;2380
2020;ICD10-C15-C26;  Bösartige Neubildungen der Verdauungsorgane;33156;50076;18626;9320;3118;6525;21542;7733;24905;71175;14244;5513;17576;9907;8710;12886
2020;ICD10-C30-C39;  BN d. Atmungsorgane u. so. intrathorakaler Organe;22804;26641;13346;6808;2883;3752;12982;4256;15478;53118;7726;3299;9710;5957;7357;8423
2020;ICD10-C40-C41;  BN des Knochens und des Gelenkknorpels;1553;1211;511;54;113;265;460;62;624;2255;278;128;390;200;163;202
2020;ICD10-C43-C44;  Melanom und sonstige BN der Haut;14303;15909;5440;2303;1269;2827;7171;1844;6666;23278;4502;1636;7760;3268;2657;2914
2020;ICD10-C45-C49;  BN d. mesothelialen Gewebes u.d. Weichteilgewebes;3286;4044;3130;1034;289;791;1427;358;1609;5414;746;397;1184;522;696;545
